track_id,frame,instance_score,x_head,y_head,score_head,x_body,y_body,score_body,x_tail,y_tail,score_tail,filename
0.0,77.0,0.97,11.550442,24.60302,0.94,9.741886,26.022392,0.96,7.9465446,26.048813,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,78.0,0.97,11.891193,24.561638,0.97,10.067677,25.996857,0.96,8.300503,26.037361,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,79.0,0.97,12.400127,24.250816,0.98,10.293087,25.642014,0.98,8.5417595,26.022392,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,80.0,0.99,12.717106,24.095848,0.99,10.931446,25.443024,0.96,9.217991,25.876228,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,81.0,1.0,13.402142,23.709312,0.99,11.361134,24.823143,0.96,9.910061,25.827805,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,82.0,1.0,13.810688,23.34214,0.98,11.7186165,24.770317,0.98,10.249058,25.520508,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,83.0,0.99,14.28793,23.166916,0.99,12.211697,24.295723,0.98,10.792332,25.31623,1.01,2024-06-28_11-22-55_td2.tracks.feather
0.0,84.0,0.99,14.520374,22.83937,0.98,12.717106,23.958488,0.98,11.299496,24.979881,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,85.0,0.98,15.16843,22.170189,0.98,13.133587,23.580757,0.97,11.719494,24.613586,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,86.0,0.99,15.534718,21.788055,0.99,13.465534,23.517365,0.97,12.018871,24.573082,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,87.0,0.99,15.547924,21.626923,0.98,13.792202,23.05774,0.96,12.406292,24.123146,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,88.0,0.98,16.062138,21.945663,0.99,13.969189,23.051575,0.98,12.588551,24.125786,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,89.0,0.93,16.18629,23.414337,0.97,14.103901,23.067421,0.99,12.703022,24.43837,1.01,2024-06-28_11-22-55_td2.tracks.feather
0.0,90.0,0.96,16.88277,23.421387,0.95,14.444653,23.356232,0.94,12.755848,24.13459,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,91.0,0.97,17.453335,23.748055,0.98,15.068935,23.391449,0.96,13.306164,23.764786,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,92.0,0.96,17.14252,24.41195,1.0,15.360378,23.655594,0.92,13.58881,24.032455,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,93.0,0.98,17.2561,24.93937,0.98,15.525036,23.542892,0.96,13.734089,23.867805,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,94.0,0.97,16.62566,23.520004,0.97,15.193966,23.229439,0.97,13.4558525,23.551697,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,95.0,0.99,16.439877,21.438492,1.01,15.348049,23.21006,0.96,13.609936,23.531448,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,96.0,0.96,16.989307,21.086288,0.99,15.562893,22.813835,1.0,14.132076,23.558746,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,97.0,0.97,17.34943,20.70327,0.97,15.880756,22.474846,0.99,14.450817,23.517365,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,98.0,0.99,17.143398,20.76931,0.99,15.684406,22.186035,0.96,14.28352,23.258492,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,99.0,0.98,16.396725,23.217987,0.98,15.44315,22.51535,0.95,14.342518,23.591324,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,100.0,0.98,15.897488,23.740128,0.99,15.580509,22.671196,1.03,14.4473,23.718994,0.94,2024-06-28_11-22-55_td2.tracks.feather
0.0,101.0,0.97,14.639248,24.425163,0.99,15.69849,23.032204,1.01,14.289684,23.437233,0.92,2024-06-28_11-22-55_td2.tracks.feather
0.0,102.0,0.92,13.710316,24.77208,0.94,15.215977,23.689056,0.98,14.076603,23.035728,0.84,2024-06-28_11-22-55_td2.tracks.feather
0.0,103.0,0.97,12.850948,25.128685,0.98,14.653332,24.116104,0.94,14.022015,22.972328,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,104.0,0.99,11.695728,25.332077,0.98,13.842396,24.293083,0.94,14.458744,23.146667,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,105.0,0.99,13.009434,24.111702,0.95,14.139126,24.426918,0.94,14.448177,23.004028,1.02,2024-06-28_11-22-55_td2.tracks.feather
0.0,106.0,0.97,13.751698,22.681763,0.94,14.164654,24.116104,0.97,14.479877,23.002266,0.94,2024-06-28_11-22-55_td2.tracks.feather
0.0,107.0,0.96,14.127674,21.603142,1.03,13.836231,23.714592,0.95,15.153461,23.030441,1.04,2024-06-28_11-22-55_td2.tracks.feather
0.0,108.0,0.97,14.456982,20.739372,0.96,13.830067,22.88604,0.91,14.899876,23.545532,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,109.0,0.98,14.64629,19.91082,0.98,13.983273,22.331322,0.95,15.002018,23.350945,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,110.0,0.98,14.6832695,19.469688,0.98,14.270313,21.614594,0.98,14.640125,23.036606,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,111.0,0.96,14.481632,19.07434,0.99,14.442013,20.924278,0.99,14.422642,22.649185,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,112.0,0.98,14.323147,18.39283,1.0,14.336353,20.513962,0.99,14.265911,21.973839,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,113.0,0.99,14.306416,17.681381,0.98,14.350437,19.823654,0.99,14.289684,21.29409,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,114.0,0.98,15.657108,17.896225,0.97,14.612835,19.669563,0.97,14.33987,21.397987,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,115.0,0.95,15.93359,17.367043,0.97,14.831196,19.4917,0.97,14.199879,20.962143,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,116.0,0.97,16.369434,16.812332,0.97,15.013462,18.92289,0.98,14.293209,20.371323,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,117.0,1.0,16.231197,17.707802,0.99,14.8690605,19.125412,0.99,14.1743355,20.532455,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,118.0,0.95,15.734592,20.21283,1.0,15.00906,19.117485,0.98,14.31258,20.535095,0.94,2024-06-28_11-22-55_td2.tracks.feather
0.0,119.0,0.94,16.369434,21.53975,0.94,15.031071,19.48906,0.96,14.28088,20.513084,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,120.0,0.98,16.910946,22.11824,0.93,15.551449,20.090439,0.96,14.156734,20.411827,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,121.0,0.98,17.278996,22.980255,0.98,15.902767,20.925163,0.98,14.482517,20.251572,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,122.0,0.99,17.489437,23.53585,0.99,16.400257,21.78453,1.0,15.046925,20.677742,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,123.0,0.96,18.176228,23.912704,1.0,16.763905,22.153458,0.97,15.4035225,20.765793,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,124.0,0.94,15.930943,23.924156,0.98,16.608051,22.151703,0.97,15.231823,21.054596,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,125.0,0.99,15.757488,24.978111,0.98,16.401134,22.875473,0.98,16.031322,21.40944,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,126.0,0.97,15.580509,25.686035,0.98,16.233837,23.60189,0.95,16.225918,22.107674,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,127.0,0.99,15.524151,26.412453,0.97,15.93359,24.289558,0.96,16.234722,22.554092,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,128.0,0.98,15.360378,27.266548,0.97,15.76717,25.128685,0.98,16.114094,23.400253,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,129.0,0.97,15.185162,27.969185,0.97,15.592831,25.840126,0.98,15.928303,24.1073,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,130.0,0.99,15.154339,28.661263,0.98,15.520634,26.848305,0.95,15.858746,25.098747,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,131.0,0.97,14.994968,29.394714,0.98,15.366543,27.302643,0.96,15.701138,25.819878,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,132.0,0.99,14.826794,30.365913,0.97,15.214214,27.980637,0.97,15.523273,26.250443,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,133.0,0.98,14.670948,31.096733,0.98,15.063648,28.70617,0.97,15.37183,26.961884,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,134.0,0.99,14.671825,31.524658,0.96,15.031948,29.400002,0.95,15.038998,27.660133,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,135.0,0.99,14.495724,32.481766,0.98,14.876987,30.070946,0.96,14.890186,28.300255,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,136.0,1.01,14.509808,32.744156,0.97,14.862011,30.628304,0.95,14.8681755,28.871704,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,137.0,0.99,14.505405,33.443268,0.97,14.832081,31.323906,0.97,14.846165,29.582268,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,138.0,0.98,14.500126,34.278877,0.97,14.813587,31.87069,0.96,14.824154,30.102646,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,139.0,0.98,14.765156,34.984154,0.97,14.80566,32.54252,0.98,14.817112,30.753342,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,140.0,0.99,14.647167,35.02906,0.98,14.6841545,32.92202,0.95,14.663898,31.155724,0.98,2024-06-28_11-22-55_td2.tracks.feather
